Date,Last Price
10/27/2022,281.706
10/26/2022,285.607
10/25/2022,282.447
10/24/2022,286.447
10/21/2022,288.986
10/20/2022,298.109
10/19/2022,299.573
10/18/2022,299.604
10/17/2022,307.739
10/14/2022,312.448
10/13/2022,304.479
10/12/2022,302.206
10/11/2022,299.666
10/10/2022,306.41
10/7/2022,298.37
10/6/2022,289.524
10/5/2022,288.324
10/4/2022,283.791
10/3/2022,292.789
9/30/2022,312.63
9/29/2022,308.919
9/28/2022,301.647
9/27/2022,312.362
9/26/2022,295.214
9/23/2022,280.25
9/22/2022,267.828
9/21/2022,263.925
9/20/2022,263.265
9/19/2022,240.676
9/16/2022,246.354
9/15/2022,243.719
9/14/2022,242.559
9/13/2022,242.592
9/12/2022,233.25
9/9/2022,235.96
9/8/2022,241.815
9/7/2022,247.777
9/6/2022,253.551
9/5/2022,255.589
9/2/2022,252.363
9/1/2022,259.672
8/31/2022,263.246
8/30/2022,261.421
8/29/2022,260.983
8/26/2022,258.345
8/25/2022,253.195
8/24/2022,255.616
8/23/2022,262.936
8/22/2022,272.427
8/19/2022,263.866
8/18/2022,254.262
8/17/2022,252.793
8/16/2022,248.35
8/15/2022,244.332
8/12/2022,244.78
8/11/2022,251.393
8/10/2022,253.268
8/9/2022,267.782
8/8/2022,265.605
8/5/2022,274.737
8/4/2022,272.998
8/3/2022,278.827
8/2/2022,283.556
8/1/2022,276.445
7/29/2022,273.589
7/28/2022,280.615
7/27/2022,288.785
7/26/2022,298.962
7/25/2022,293.697
7/22/2022,298.458
7/21/2022,295.965
7/20/2022,300.112
7/19/2022,316.315
7/18/2022,328.814
7/15/2022,328.545
7/14/2022,329.231
7/13/2022,319.372
7/12/2022,311.004
7/11/2022,299.46
7/8/2022,291.74
7/7/2022,293.13
7/6/2022,303.866
7/5/2022,300.938
7/4/2022,298.481
7/1/2022,296.485
6/30/2022,294.838
6/29/2022,296.489
6/28/2022,299.811
6/27/2022,288.234
6/24/2022,286.409
6/23/2022,292.194
6/22/2022,287.997
6/21/2022,281.726
6/20/2022,283.668
6/17/2022,283.846
6/16/2022,279.639
6/15/2022,266.747
6/14/2022,276.751
6/13/2022,270.954
6/10/2022,257.116
6/9/2022,250.567
6/8/2022,243.715
6/7/2022,239.282
6/6/2022,237.493
6/3/2022,233.492
6/2/2022,228.315
6/1/2022,224.827
5/31/2022,223.728
5/30/2022,221.275
5/27/2022,223.016
5/26/2022,225.55
5/25/2022,232.475
5/24/2022,242.132
5/23/2022,243.951
5/20/2022,250.063
5/19/2022,248.519
5/18/2022,246.556
5/17/2022,238.917
5/16/2022,242.092
5/13/2022,241.066
5/12/2022,244.824
5/11/2022,243.73
5/10/2022,243.62
5/9/2022,245.326
5/6/2022,236.799
5/5/2022,230.183
5/4/2022,226.531
5/3/2022,231.393
5/2/2022,234.723
4/29/2022,229.605
4/28/2022,222.333
4/27/2022,225.35
4/26/2022,227.116
4/25/2022,223.333
4/22/2022,224.552
4/21/2022,215.229
4/20/2022,211.111
4/19/2022,215.333
4/18/2022,219.83
4/15/2022,219.602
4/14/2022,218.473
4/13/2022,217.699
4/12/2022,221.337
4/11/2022,219.987
4/8/2022,215.252
4/7/2022,211.707
4/6/2022,209.824
4/5/2022,206
4/4/2022,203.005
4/1/2022,207.786
3/31/2022,208.786
3/30/2022,206.826
3/29/2022,207.244
3/28/2022,212.456
3/25/2022,215.009
3/24/2022,218.073
3/23/2022,221.755
3/22/2022,218.953
3/21/2022,217.75
3/18/2022,203.603
3/17/2022,204.475
3/16/2022,211.112
3/15/2022,221.768
3/14/2022,224.677
3/11/2022,224.719
3/10/2022,220.313
3/9/2022,220.265
3/8/2022,229.89
3/7/2022,233.675
3/4/2022,228.139
3/3/2022,221.836
3/2/2022,224.943
3/1/2022,226.427
2/28/2022,223.391
2/25/2022,221.556
2/24/2022,227.263
2/23/2022,230.384
2/22/2022,227.428
2/21/2022,228.831
2/18/2022,227.624
2/17/2022,224.471
2/16/2022,221.517
2/15/2022,225.568
2/14/2022,231.119
2/11/2022,231.23
2/10/2022,222.613
2/9/2022,217.956
2/8/2022,221.865
2/7/2022,223.334
2/4/2022,221.372
2/3/2022,217.699
2/2/2022,213.299
2/1/2022,219.638
1/31/2022,227.732
1/28/2022,229.565
1/27/2022,228.929
1/26/2022,226.6
1/25/2022,224.979
1/24/2022,224.682
1/21/2022,220.592
