Date,Last Price
11/28/2022,29.55
11/25/2022,29.58
11/23/2022,29.6
11/22/2022,29.47
11/21/2022,30.12
11/18/2022,29.47
11/17/2022,29.48
11/16/2022,29.73
11/15/2022,30.92
11/14/2022,30.81
11/11/2022,30.64
11/10/2022,29.61
11/9/2022,31.68
11/8/2022,32.67
11/7/2022,32.36
11/4/2022,33.87
11/3/2022,33.05
11/2/2022,32.17
11/1/2022,33.15
10/31/2022,32.67
10/28/2022,31.45
10/27/2022,31.63
10/26/2022,30.7
10/25/2022,31.44
10/24/2022,31.98
10/21/2022,34.09
10/20/2022,32.86
10/19/2022,32.28
10/18/2022,32.1
10/17/2022,31.26
10/14/2022,30.61
10/13/2022,31.58
10/12/2022,31.37
10/11/2022,31.66
10/10/2022,32.45
10/7/2022,32.46
10/6/2022,32.86
10/5/2022,32.82
10/4/2022,32.68
10/3/2022,32.55
9/30/2022,29.63
9/29/2022,28.97
9/28/2022,29.31
9/27/2022,29.17
9/26/2022,29.29
9/23/2022,30.74
9/22/2022,32.2
9/21/2022,31.24
9/20/2022,31.51
9/19/2022,31.27
9/16/2022,30
9/15/2022,30.33
9/14/2022,30.85
9/13/2022,30.82
9/12/2022,32.16
9/9/2022,31.49
9/8/2022,30.5
9/7/2022,30.53
9/6/2022,30.25
9/2/2022,30.87
9/1/2022,30.46
8/31/2022,30.52
8/30/2022,31.22
8/29/2022,32.29
8/26/2022,32.01
8/25/2022,32.21
8/24/2022,32.06
8/23/2022,32.1
8/22/2022,30.97
8/19/2022,31.17
8/18/2022,31.86
8/17/2022,31.77
8/16/2022,31.9
8/15/2022,32.02
8/12/2022,31.99
8/11/2022,30.85
8/10/2022,31.41
8/9/2022,30.72
8/8/2022,30.67
8/5/2022,29.75
8/4/2022,29.31
8/3/2022,28.5
8/2/2022,28.47
8/1/2022,28.67
7/29/2022,29.02
7/28/2022,28.83
7/27/2022,28.02
7/26/2022,27.07
7/25/2022,27.08
7/22/2022,26.05
7/21/2022,26.02
7/20/2022,25.99
7/19/2022,26.26
7/18/2022,25.96
7/15/2022,25.93
7/14/2022,25.58
7/13/2022,26.25
7/12/2022,26.14
7/11/2022,26.45
7/8/2022,27.54
7/7/2022,27.31
7/6/2022,26.37
7/5/2022,26.43
7/1/2022,27.07
6/30/2022,27.39
6/29/2022,27.78
6/28/2022,27.66
6/27/2022,27.9
6/24/2022,27.2
6/23/2022,27.14
6/22/2022,27.74
6/21/2022,27.89
6/17/2022,27.92
6/16/2022,28.27
6/15/2022,29.58
6/14/2022,28.8
6/13/2022,29.02
6/10/2022,30.53
6/9/2022,31.48
6/8/2022,33.52
6/7/2022,34.29
6/6/2022,34.87
6/3/2022,35.24
6/2/2022,35.54
6/1/2022,35.1
5/31/2022,35.25
5/27/2022,35.72
5/26/2022,35.5
5/25/2022,34.75
5/24/2022,34.78
5/23/2022,34.84
5/20/2022,33.62
5/19/2022,32.82
5/18/2022,32.14
5/17/2022,33.16
5/16/2022,32.35
5/13/2022,31.89
5/12/2022,31.09
5/11/2022,30.67
5/10/2022,30.3
5/9/2022,30.25
5/6/2022,31.34
5/5/2022,31.66
5/4/2022,33.09
5/3/2022,32.17
5/2/2022,31.63
4/29/2022,32.77
4/28/2022,33.44
4/27/2022,33.01
4/26/2022,32.58
4/25/2022,34.09
4/22/2022,34.75
4/21/2022,36.32
4/20/2022,37.3
4/19/2022,37.18
4/18/2022,37.49
4/14/2022,37.24
4/13/2022,37.6
4/12/2022,37.55
4/11/2022,37.6
4/8/2022,37.86
4/7/2022,37.77
4/6/2022,37.67
4/5/2022,38.32
4/4/2022,39.52
4/1/2022,39.14
3/31/2022,37.81
3/30/2022,37.74
3/29/2022,37.86
3/28/2022,37.4
3/25/2022,37.69
3/24/2022,37.13
3/23/2022,36.48
3/22/2022,35.95
