Date,Last Value
11/25/2022,47.244
11/24/2022, 
11/23/2022,48.09
11/22/2022,48.124
11/21/2022,47.792
11/18/2022,47.692
11/17/2022,47.692
11/16/2022,47.744
11/15/2022,46.447
11/14/2022,46.455
11/11/2022,46.434
11/10/2022,53.662
11/9/2022,49.77
11/8/2022,48.884
11/7/2022,48.853
11/4/2022,46.497
11/3/2022,48.721
11/2/2022,50.228
11/1/2022,50.13
10/31/2022,50.072
10/28/2022,48.808
10/27/2022,50.299
10/26/2022,49.668
10/25/2022,49.4
10/24/2022,49.095
10/21/2022,46.828
10/20/2022,45.975
10/19/2022,46.632
10/18/2022,46.626
10/17/2022,46.056
10/14/2022,46.061
10/13/2022,45.209
10/12/2022,45.187
10/11/2022,45.646
10/10/2022,46.186
10/7/2022,46.256
10/6/2022,46.137
10/5/2022,46.153
10/4/2022,46.144
10/3/2022,47.33
9/30/2022,37.728
9/29/2022,37.417
9/28/2022,37.367
9/27/2022,37.294
9/26/2022,37.294
9/23/2022,34.561
9/22/2022,33.407
9/21/2022,32.661
9/20/2022,33.222
9/19/2022,33.157
9/16/2022,32.045
9/15/2022,32.138
9/14/2022,32.598
9/13/2022,32.597
9/12/2022,29.611
9/9/2022,29.5
9/8/2022,28.119
9/7/2022,29.199
9/6/2022,30.647
9/5/2022, 
9/2/2022,29.759
9/1/2022,31.389
8/31/2022,31.335
8/30/2022,30.134
8/29/2022,27.989
8/26/2022,28.016
8/25/2022,27.773
8/24/2022,27.817
8/23/2022,29.485
8/22/2022,28.095
8/19/2022,28.357
8/18/2022,30.485
8/17/2022,30.494
8/16/2022,31.614
8/15/2022,31.572
8/12/2022,32.84
8/11/2022,31.828
8/10/2022,31.599
8/9/2022,31.105
8/8/2022,31.317
8/5/2022,30.944
8/4/2022,30.727
8/3/2022,30.532
8/2/2022,30.591
8/1/2022,30.504
7/29/2022,30.517
7/28/2022,33.434
7/27/2022,33.294
7/26/2022,31.469
7/25/2022,34.621
7/22/2022,32.825
7/21/2022,36.781
7/20/2022,36.879
7/19/2022,36.942
7/18/2022,36.348
7/15/2022,36.174
7/14/2022,36.105
7/13/2022,35.853
7/12/2022,35.583
7/11/2022,35.94
7/8/2022,35.871
7/7/2022,35.584
7/6/2022,33.036
7/5/2022,35.664
7/4/2022, 
7/1/2022,36.595
6/30/2022,37.47
6/29/2022,38.179
6/28/2022,39.172
6/27/2022,39.597
6/24/2022,39.597
6/23/2022,39.924
6/22/2022,39.827
6/21/2022,39.844
6/20/2022, 
6/17/2022,41.014
6/16/2022,40.976
6/15/2022,40.872
6/14/2022,40.977
6/13/2022,41.422
6/10/2022,40.012
6/9/2022,39.449
6/8/2022,34.879
6/7/2022,34.308
6/6/2022,36.718
6/3/2022,37.055
6/2/2022,39.329
6/1/2022,39.848
5/31/2022,39.874
5/30/2022, 
5/27/2022,39.77
5/26/2022,39.779
5/25/2022,39.193
5/24/2022,39.208
5/23/2022,39.209
5/20/2022,37.379
5/19/2022,36.413
5/18/2022,35.613
5/17/2022,34.908
5/16/2022,34.478
5/13/2022,34.239
5/12/2022,35.144
5/11/2022,34.685
5/10/2022,34.194
5/9/2022,34.606
5/6/2022,33.495
5/5/2022,34.071
5/4/2022,32.549
5/3/2022,31.566
5/2/2022,31.261
4/29/2022,30.913
4/28/2022,31.333
4/27/2022,32.111
4/26/2022,33.475
4/25/2022,31.102
4/22/2022,31.549
4/21/2022,29.49
4/20/2022,28.119
4/19/2022,28.998
4/18/2022,28.758
4/15/2022, 
4/14/2022,31.346
4/13/2022,31.294
4/12/2022,31.58
4/11/2022,32.694
4/8/2022,32.53
4/7/2022,32.661
4/6/2022,32.72
4/5/2022,33.3
4/4/2022,31.456
4/1/2022,31.585
3/31/2022,30.346
3/30/2022,31.378
3/29/2022,31.346
3/28/2022,31.465
3/25/2022,31.244
3/24/2022,31.099
3/23/2022,30.844
3/22/2022,30.677
3/21/2022,30.598
3/18/2022,29.94
3/17/2022,29.223
3/16/2022,28.384
3/15/2022,26.564
3/14/2022,26.217
3/11/2022,25.203
3/10/2022,23.694
3/9/2022,23.935
3/8/2022,22.995
3/7/2022,24.296
3/4/2022,21.424
3/3/2022,21.363
3/2/2022,21.039
3/1/2022,21.257
2/28/2022,21.531
2/25/2022,21.423
2/24/2022,21.411
2/23/2022,20.762
2/22/2022,22.582
2/21/2022, 
2/18/2022,23.024
2/17/2022,23.214
2/16/2022,21.396
2/15/2022,23.81
2/14/2022,23.859
2/11/2022,25.684
2/10/2022,25.676
2/9/2022,26.071
2/8/2022,27.102
2/7/2022,27.326
2/4/2022,27.38
2/3/2022,27.506
2/2/2022,27.372
2/1/2022,27.151
1/31/2022,28.743
1/28/2022,28.887
1/27/2022,29.028
1/26/2022,28.824
1/25/2022,28.919
1/24/2022,36.328
1/21/2022,36.197
1/20/2022,36.982
1/19/2022,37.353
1/18/2022,36.206
1/17/2022, 
1/14/2022,36.46
1/13/2022,36.285
1/12/2022,38.429
1/11/2022,37.59
1/10/2022,35.848
1/7/2022,35.776
1/6/2022,35.343
1/5/2022,35.357
1/4/2022,34.934
1/3/2022,34.933
12/31/2021,34.176
12/30/2021,34.539
12/29/2021,34.002
12/28/2021,34.239
12/27/2021,34.234
12/24/2021, 
12/23/2021,34.151
12/22/2021,35.955
12/21/2021,35.603
12/20/2021,36.068
12/17/2021,35.173
12/16/2021,35.811
12/15/2021,36.288
12/14/2021,37.275
12/13/2021,37.551
12/10/2021,29.674
12/9/2021,30.736
12/8/2021,30.037
12/7/2021,29.549
12/6/2021,29.868
12/3/2021,31.625
12/2/2021,31.619
12/1/2021,32.153
11/30/2021,32.041
11/29/2021,34.378
11/26/2021,34.455
11/25/2021, 
11/24/2021,35.303
11/23/2021,35.083
11/22/2021,35.245
11/19/2021,35.235
11/18/2021,35.281
11/17/2021,35.62
11/16/2021,35.448
11/15/2021,34.84
11/12/2021,34.869
11/11/2021,35.648
11/10/2021,35.29
11/9/2021,35.304
11/8/2021,34.945
11/5/2021,36.434
11/4/2021,35.488
11/3/2021,35.003
11/2/2021,34.146
11/1/2021,34.351
10/29/2021,34.562
10/28/2021,34.821
10/27/2021,35.386
10/26/2021,35.516
10/25/2021,35.055
10/22/2021,32.754
10/21/2021,33.716
10/20/2021,30.967
10/19/2021,32.644
10/18/2021,34.497
10/15/2021,34.493
10/14/2021,33.491
10/13/2021,33.821
10/12/2021,33.42
10/11/2021,33.437
