Date,Last Value
11/25/2022,41.44
11/24/2022, 
11/23/2022,40.356
11/22/2022,40.673
11/21/2022,41.51
11/18/2022,41.107
11/17/2022,41.096
11/16/2022,44.261
11/15/2022,40.539
11/14/2022,41.001
11/11/2022,41.33
11/10/2022,42.869
11/9/2022,39.654
11/8/2022,39.21
11/7/2022,39.59
11/4/2022,37.065
11/3/2022,36.959
11/2/2022,36.222
11/1/2022,36.552
10/31/2022,36.969
10/28/2022,42.443
10/27/2022,42.357
10/26/2022,42.938
10/25/2022,42.208
10/24/2022,42.877
10/21/2022,40.153
10/20/2022,39.992
10/19/2022,39.476
10/18/2022,39.491
10/17/2022,38.221
10/14/2022,39.64
10/13/2022,38.099
10/12/2022,38.103
10/11/2022,39.513
10/10/2022,38.716
10/7/2022,39.115
10/6/2022,37.456
10/5/2022,38.388
10/4/2022,38.862
10/3/2022,39.935
9/30/2022,45.063
9/29/2022,44.287
9/28/2022,42.6
9/27/2022,40.576
9/26/2022,42.348
9/23/2022,39.732
9/22/2022,38.089
9/21/2022,39.469
9/20/2022,38.331
9/19/2022,39.402
9/16/2022,40.564
9/15/2022,41.076
9/14/2022,42.115
9/13/2022,42.37
9/12/2022,42.223
9/9/2022,42.302
9/8/2022,42.95
9/7/2022,44.475
9/6/2022,44.9
9/5/2022, 
9/2/2022,44.445
9/1/2022,45.226
8/31/2022,44.436
8/30/2022,44.036
8/29/2022,42.621
8/26/2022,43.2
8/25/2022,43.451
8/24/2022,43.727
8/23/2022,43.849
8/22/2022,41.954
8/19/2022,44.129
8/18/2022,41.223
8/17/2022,42.183
8/16/2022,42.16
8/15/2022,44.59
8/12/2022,42.194
8/11/2022,43.06
8/10/2022,43.729
8/9/2022,42.998
8/8/2022,44.056
8/5/2022,42.528
8/4/2022,43.096
8/3/2022,42.42
8/2/2022,42.811
8/1/2022,42.951
7/29/2022,43.572
7/28/2022,42.112
7/27/2022,44.013
7/26/2022,45.038
7/25/2022,45.352
7/22/2022,45.544
7/21/2022,45.742
7/20/2022,45.963
7/19/2022,45.225
7/18/2022,43.299
7/15/2022,42.867
7/14/2022,44.34
7/13/2022,44.561
7/12/2022,45.191
7/11/2022,43.844
7/8/2022,41.363
7/7/2022,42.601
7/6/2022,42.615
7/5/2022,43.548
7/4/2022, 
7/1/2022,40.722
6/30/2022,42.648
6/29/2022,40.816
6/28/2022,40.458
6/27/2022,39.935
6/24/2022,42.073
6/23/2022,42.815
6/22/2022,40.52
6/21/2022,40.279
6/20/2022, 
6/17/2022,41.128
6/16/2022,43.929
6/15/2022,40.532
6/14/2022,41.439
6/13/2022,44.669
6/10/2022,40.371
6/9/2022,39.571
6/8/2022,38.091
6/7/2022,37.291
6/6/2022,36.085
6/3/2022,36.742
6/2/2022,36.473
6/1/2022,37.059
5/31/2022,36.479
5/30/2022, 
5/27/2022,35.935
5/26/2022,35.938
5/25/2022,36.558
5/24/2022,37.038
5/23/2022,36.182
5/20/2022,37.256
5/19/2022,37.482
5/18/2022,38.837
5/17/2022,36.332
5/16/2022,37.245
5/13/2022,37.315
5/12/2022,39.539
5/11/2022,39.828
5/10/2022,40.515
5/9/2022,40.631
5/6/2022,38.174
5/5/2022,38.977
5/4/2022,34.993
5/3/2022,37.03
5/2/2022,37.789
4/29/2022,37.659
4/28/2022,35.563
4/27/2022,36.274
4/26/2022,37.643
4/25/2022,35.093
4/22/2022,34.575
4/21/2022,33.071
4/20/2022,30.529
4/19/2022,29.99
4/18/2022,29.977
4/15/2022, 
4/14/2022,29.419
4/13/2022,29.934
4/12/2022,31.126
4/11/2022,31.86
4/8/2022,30.92
4/7/2022,31.3
4/6/2022,32.205
4/5/2022,32.581
4/4/2022,30.584
4/1/2022,31.325
3/31/2022,30.765
3/30/2022,30.428
3/29/2022,31.081
3/28/2022,32.304
3/25/2022,31.711
3/24/2022,32.74
3/23/2022,32.604
3/22/2022,30.68
3/21/2022,31.177
3/18/2022,31.53
3/17/2022,33.496
3/16/2022,34.854
3/15/2022,35.709
3/14/2022,36.437
3/11/2022,36.548
3/10/2022,33.455
3/9/2022,35.277
3/8/2022,36.501
3/7/2022,38.721
3/4/2022,35.161
3/3/2022,33.63
3/2/2022,32.207
3/1/2022,32.865
2/28/2022,34.285
2/25/2022,32.346
2/24/2022,34.316
2/23/2022,33.153
2/22/2022,32.879
2/21/2022, 
2/18/2022,32.137
2/17/2022,32.904
2/16/2022,31.53
2/15/2022,32.419
2/14/2022,33.331
2/11/2022,33.595
2/10/2022,32.306
2/9/2022,32.011
2/8/2022,32.709
2/7/2022,33.352
2/4/2022,33.49
2/3/2022,34.517
2/2/2022,33.199
2/1/2022,33.946
1/31/2022,34.146
1/28/2022,35.816
1/27/2022,36.176
1/26/2022,35.539
1/25/2022,35.977
1/24/2022,36.093
1/21/2022,35.086
1/20/2022,34.824
1/19/2022,33.658
1/18/2022,33.372
1/17/2022, 
1/14/2022,33.017
1/13/2022,33.21
1/12/2022,32.22
1/11/2022,32.298
1/10/2022,33.661
1/7/2022,34.311
1/6/2022,34.513
1/5/2022,35.485
1/4/2022,34.87
1/3/2022,34.53
12/31/2021,34.477
12/30/2021,34.015
12/29/2021,34.371
12/28/2021,34.371
12/27/2021,35.434
12/24/2021, 
12/23/2021,35.098
12/22/2021,34.782
12/21/2021,36.593
12/20/2021,38.133
12/17/2021,37.552
12/16/2021,36.496
12/15/2021,37.434
12/14/2021,38.331
12/13/2021,37.221
12/10/2021,35.059
12/9/2021,36.13
12/8/2021,35.653
12/7/2021,36.265
12/6/2021,37.762
12/3/2021,38.54
12/2/2021,38.534
12/1/2021,39.299
11/30/2021,38.384
11/29/2021,37.316
11/26/2021,39.59
11/25/2021, 
11/24/2021,36.88
11/23/2021,36.873
11/22/2021,36.214
11/19/2021,36.958
11/18/2021,35.076
11/17/2021,36.033
11/16/2021,34.487
11/15/2021,35.007
11/12/2021,34.574
11/11/2021,33.766
11/10/2021,34.871
11/9/2021,35.158
11/8/2021,35.371
11/5/2021,34.973
11/4/2021,36.46
11/3/2021,35.438
11/2/2021,36.484
11/1/2021,35.693
10/29/2021,35.942
10/28/2021,36.404
10/27/2021,36.836
10/26/2021,36.412
10/25/2021,36.412
10/22/2021,37.877
10/21/2021,35.927
10/20/2021,35.173
10/19/2021,35.223
10/18/2021,32.124
10/15/2021,31.135
10/14/2021,32.593
