Date,Last Price,Volume,SMAVG (15)
10/27/2022,3807.3,,
10/26/2022,3830.6,756097920,713179136
10/25/2022,3859.11,705721792,705495424
10/24/2022,3797.34,677220096,708163712
10/21/2022,3752.75,902210688,714095552
10/20/2022,3665.78,676528320,719490560
10/19/2022,3695.16,622566976,720857664
10/18/2022,3719.98,678666496,728209728
10/17/2022,3677.95,718643392,728232960
10/14/2022,3583.07,736480576,727314944
10/13/2022,3669.91,840635072,726883776
10/12/2022,3577.03,645865088,713379520
10/11/2022,3588.84,726546304,713742016
10/10/2022,3612.39,604053184,705767552
10/7/2022,3639.66,758416448,706125504
10/6/2022,3744.52,648035072,795180608
10/5/2022,3783.28,640842240,797803520
10/4/2022,3790.93,745745600,801158656
10/3/2022,3678.43,766197440,802991168
9/30/2022,3585.62,983136384,790456960
9/29/2022,3640.47,697035072,763304832
9/28/2022,3719.04,732847360,758411520
9/27/2022,3647.29,679015232,750797760
9/26/2022,3655.04,704873408,748682176
9/23/2022,3693.23,730013184,740393728
9/22/2022,3757.99,638070784,734279552
9/21/2022,3789.93,651302720,749149184
9/20/2022,3855.93,606929216,742694592
9/19/2022,3899.89,609422592,735892032
9/16/2022,3873.33,2094243200,737455360
9/15/2022,3901.35,687378048,630892928
9/14/2022,3946.01,691169472,616132352
9/13/2022,3932.69,773233088,600345664
9/12/2022,4110.41,578184448,584538560
9/9/2022,4067.36,575854400,589092672
9/8/2022,4006.18,623635840,581448640
9/7/2022,3979.87,618640704,573048704
9/6/2022,3908.19,647281920,563953088
9/2/2022,3924.26,580546176,551380544
9/1/2022,3966.85,638301056,546583808
8/31/2022,3955,861114688,538904384
8/30/2022,3986.16,554484416,521713504
8/29/2022,4030.61,504890272,519930176
8/26/2022,4057.66,632873088,521768704
8/25/2022,4199.12,495806112,515740160
8/24/2022,4140.77,465969536,521350336
8/23/2022,4128.73,454368800,533831488
8/22/2022,4137.99,536127328,542568704
8/19/2022,4228.48,646495296,547791040
8/18/2022,4283.74,461194144,570703808
8/17/2022,4274.04,497636896,582626240
8/16/2022,4305.2,482206208,594917440
8/15/2022,4297.14,458693984,601084864
8/12/2022,4280.15,508595648,605181376
8/11/2022,4207.27,523109248,610896512
8/10/2022,4210.24,603251520,618283904
8/9/2022,4122.47,527734624,619492288
8/8/2022,4140.06,532468320,628302656
8/5/2022,4145.19,542444672,632375552
8/4/2022,4151.94,579958912,644401856
8/3/2022,4155.17,653186688,644357248
8/2/2022,4091.19,585426944,638203584
8/1/2022,4118.63,614462336,638075648
7/29/2022,4130.29,990186880,630851200
7/28/2022,4072.43,640030656,597139200
7/27/2022,4023.61,682004736,594265728
7/26/2022,3921.05,574718016,589845632
7/25/2022,3966.84,520141280,596195776
7/22/2022,3961.63,594322432,601899648
7/21/2022,3998.95,633920960,618710272
7/20/2022,3959.9,621376448,612229824
7/19/2022,3936.69,659890432,611693632
7/18/2022,3830.85,593561408,608077824
7/15/2022,3863.16,722839296,648731520
7/14/2022,3790.38,579289856,643957120
7/13/2022,3801.78,560881984,654757312
7/12/2022,3818.8,583507712,670378880
7/11/2022,3854.43,506095648,775607424
7/8/2022,3899.38,484507488,801424064
7/7/2022,3902.62,596928128,823676224
7/6/2022,3845.08,615703552,831197568
7/5/2022,3831.39,669970304,846464064
7/1/2022,3825.33,605698752,848589184
6/30/2022,3785.38,846482432,846644160
6/29/2022,3818.83,536713696,823172672
6/28/2022,3821.55,613334208,823657920
6/27/2022,3900.11,605653120,814998144
6/24/2022,3911.74,1203366656,808358080
6/23/2022,3795.73,651222912,765229760
6/22/2022,3759.89,741292736,761067648
6/21/2022,3764.79,795205696,811342272
6/17/2022,3674.84,2161936128,798781632
6/16/2022,3666.77,893345280,698592192
6/15/2022,3789.99,818290176,681652352
6/14/2022,3735.48,709747776,668872192
6/13/2022,3749.63,844701184,663653056
6/10/2022,3900.86,701847232,663649088
6/9/2022,4017.82,576523200,663833600
6/8/2022,4115.77,494409664,674224512
6/7/2022,4160.68,543992448,682922240
6/6/2022,4121.43,483437952,684064768
6/3/2022,4108.54,506051936,695552064
6/2/2022,4176.82,556442432,716928512
6/1/2022,4101.23,588790976,729477376
5/31/2022,4132.15,1495412096,742916032
5/27/2022,4158.24,606795840,696876352
5/26/2022,4057.84,659094336,704178880
5/25/2022,3978.73,639248128,713838656
