Date,Last Price
10/28/2022,89.25
10/27/2022,88.94
10/26/2022,88.62
10/25/2022,87.43
10/24/2022,87.34
10/21/2022,86.93
10/20/2022,84.49
10/19/2022,84.41
10/18/2022,81.99
10/17/2022,81.28
10/14/2022,80.28
10/13/2022,83.39
10/12/2022,80.12
10/11/2022,79.48
10/10/2022,80.12
10/7/2022,81.8
10/6/2022,82.44
10/5/2022,81
10/4/2022,79.36
10/3/2022,76.09
9/30/2022,72.02
9/29/2022,72.6
9/28/2022,72.6
9/27/2022,69.52
9/26/2022,68.75
9/23/2022,70.48
9/22/2022,75.7
9/21/2022,75.97
9/20/2022,77.1
9/19/2022,77.64
9/16/2022,78.44
9/15/2022,80.15
9/14/2022,82.27
9/13/2022,80.01
9/12/2022,82.08
9/9/2022,80.6
9/8/2022,78.64
9/7/2022,78.3
9/6/2022,79.22
9/2/2022,79.96
9/1/2022,78.52
8/31/2022,80.5
8/30/2022,81.24
8/29/2022,84.09
8/26/2022,82.84
8/25/2022,83.82
8/24/2022,83.18
8/23/2022,82.17
8/22/2022,79.31
8/19/2022,79.46
8/18/2022,79.48
8/17/2022,77.4
8/16/2022,76.76
8/15/2022,76.94
8/12/2022,78.47
8/11/2022,77.88
8/10/2022,75.29
8/9/2022,74.75
8/8/2022,73.46
8/5/2022,73.08
8/4/2022,71.66
8/3/2022,74.42
8/2/2022,76.62
8/1/2022,76.8
7/29/2022,78.42
7/28/2022,75.16
7/27/2022,74.74
7/26/2022,73.09
7/25/2022,73.76
7/22/2022,71.15
7/21/2022,71.74
7/20/2022,73.02
7/19/2022,72.32
7/18/2022,70.16
7/15/2022,68.59
7/14/2022,67.49
7/13/2022,68.79
7/12/2022,68.9
7/11/2022,70.27
7/8/2022,70.95
7/7/2022,70.98
7/6/2022,68.51
7/5/2022,69.7
7/1/2022,72.58
6/30/2022,71.51
6/29/2022,73.05
6/28/2022,75.68
6/27/2022,73.69
6/24/2022,71.59
6/23/2022,70.66
6/22/2022,73.38
6/21/2022,76.44
6/17/2022,73.49
6/16/2022,77.74
6/15/2022,82.38
6/14/2022,84.24
6/13/2022,84.08
6/10/2022,88.71
6/9/2022,90.24
6/8/2022,92.28
6/7/2022,92.08
6/6/2022,89.41
6/3/2022,89.51
6/2/2022,88.34
6/1/2022,88.62
5/31/2022,87.2
5/27/2022,88.53
5/26/2022,86.94
5/25/2022,85.99
5/24/2022,84.25
5/23/2022,83.93
5/20/2022,81.77
5/19/2022,81.42
5/18/2022,81.72
5/17/2022,83.87
5/16/2022,82.91
5/13/2022,80.78
5/12/2022,78.11
5/11/2022,77.78
5/10/2022,76.75
5/9/2022,76.06
5/6/2022,82.92
5/5/2022,80.52
5/4/2022,81.75
5/3/2022,78.49
5/2/2022,76.35
4/29/2022,75.15
4/28/2022,77.13
